
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
50-0040                          L1                                72   1      1   1   1 1           1 0 GND                 (2992-1-13)
50-0040                          L1                                72   1      2   2   1 2           2 0 XSIG030093          (2992-68-13)
50-0040                          L2                                73   1      1   1   1 1           1 0 GND                 (2992-1-13)
50-0040                          L2                                73   1      2   2   1 2           2 0 XSIG030087          (2992-67-13)
50-0040                          L3                                75   1      1   1   1 1           1 0 GND                 (2992-1-13)
50-0040                          L3                                75   1      2   2   1 2           2 0 XSIG030196          (2992-70-13)
50-0040                          L4                                74   1      1   1   1 1           1 0 GND                 (2992-1-13)
50-0040                          L4                                74   1      2   2   1 2           2 0 XSIG030191          (2992-69-13)
50-0040                          L5                                78   1      1   1   1 1           1 0 GND                 (2992-1-13)
50-0040                          L5                                78   1      2   2   1 2           2 0 XSIG030075          (2992-65-13)
50-0040                          L6                                77   1      1   1   1 1           1 0 GND                 (2992-1-13)
50-0040                          L6                                77   1      2   2   1 2           2 0 XSIG030080          (2992-66-13)
50-0040                          L7                                76   1      1   1   1 1           1 0 GND                 (2992-1-13)
50-0040                          L7                                76   1      2   2   1 2           2 0 XSIG030202          (2992-72-13)
50-0040                          L8                                79   1      1   1   1 1           1 0 GND                 (2992-1-13)
50-0040                          L8                                79   1      2   2   1 2           2 0 XSIG030199          (2992-71-13)
70-0001                          J22                               53   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0001                          J22                               53   1      2   2   1 3           3 0                     (0-0-0)
70-0001                          J22                               53   1      3   3   1 2           2 0 VCC5                (3033-4-13)
70-0003                          J12                              131   1      1   1   1 1           1 0 SERVO1              (2992-12-13)
70-0003                          J12                              131   1      2   2   1 2           2 0 VCC5                (3033-4-13)
70-0003                          J12                              131   1      3   3   1 3           3 0 GND                 (2992-1-13)
70-0003                          J18                              132   1      1   1   1 1           1 0 SERVO2              (2992-13-13)
70-0003                          J18                              132   1      2   2   1 2           2 0 VCC5                (3033-4-13)
70-0003                          J18                              132   1      3   3   1 3           3 0 GND                 (2992-1-13)
70-0003                          J19                              133   1      1   1   1 1           1 0 SERVO3              (2992-15-13)
70-0003                          J19                              133   1      2   2   1 2           2 0 VCC5                (3033-4-13)
70-0003                          J19                              133   1      3   3   1 3           3 0 GND                 (2992-1-13)
70-0003                          J20                              134   1      1   1   1 1           1 0 SERVO4              (2992-16-13)
70-0003                          J20                              134   1      2   2   1 2           2 0 VCC5                (3033-4-13)
70-0003                          J20                              134   1      3   3   1 3           3 0 GND                 (2992-1-13)
70-0003                          J21                              130   1      1   1   1 1           1 0 SERVO5              (2992-47-13)
70-0003                          J21                              130   1      2   2   1 2           2 0 VCC5                (3033-4-13)
70-0003                          J21                              130   1      3   3   1 3           3 0 GND                 (2992-1-13)
70-0014                          J13                               92   1      1   1   1 1           1 0 VCC5                (3033-4-13)
70-0014                          J13                               92   1      2   2   1 2           2 0 XSIG050192          (2992-105-13)
70-0014                          J13                               92   1      3   3   1 3           3 0 XSIG050176          (2992-95-13)
70-0014                          J13                               92   1      4   4   1 4           4 0 XSIG050191          (2992-104-13)
70-0014                          J14                               93   1      1   1   1 1           1 0 VCC5                (3033-4-13)
70-0014                          J14                               93   1      2   2   1 2           2 0 XSIG050196          (2992-107-13)
70-0014                          J14                               93   1      3   3   1 3           3 0 XSIG050177          (2992-96-13)
70-0014                          J14                               93   1      4   4   1 4           4 0 XSIG050195          (2992-106-13)
70-0014                          J15                               94   1      1   1   1 1           1 0 VCC5                (3033-4-13)
70-0014                          J15                               94   1      2   2   1 2           2 0 XSIG050199          (2992-109-13)
70-0014                          J15                               94   1      3   3   1 3           3 0 XSIG050179          (2992-98-13)
70-0014                          J15                               94   1      4   4   1 4           4 0 XSIG050198          (2992-108-13)
70-0014                          J16                               95   1      1   1   1 1           1 0 VCC5                (3033-4-13)
70-0014                          J16                               95   1      2   2   1 2           2 0 XSIG050201          (2992-111-13)
70-0014                          J16                               95   1      3   3   1 3           3 0 XSIG050181          (2992-100-13)
70-0014                          J16                               95   1      4   4   1 4           4 0 XSIG050200          (2992-110-13)
70-0014                          J17                               91   1      1   1   1 1           1 0 VCC5                (3033-4-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0014                          J17                               91   1      2   2   1 2           2 0 XSIG050174          (2992-93-13)
70-0014                          J17                               91   1      3   3   1 3           3 0 XSIG050183          (2992-102-13)
70-0014                          J17                               91   1      4   4   1 4           4 0 XSIG050173          (2992-92-13)
70-0029                          J3                                56   1      1   1   1 1           1 0 XSIG030093          (2992-68-13)
70-0029                          J4                                65   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0029                          J5                                57   1      1   1   1 1           1 0 XSIG030087          (2992-67-13)
70-0029                          J6                                64   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0029                          J7                                59   1      1   1   1 1           1 0 XSIG030196          (2992-70-13)
70-0029                          J8                                71   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0029                          J9                                58   1      1   1   1 1           1 0 XSIG030191          (2992-69-13)
70-0029                          J10                               70   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0029                          J24                               62   1      1   1   1 1           1 0 XSIG030075          (2992-65-13)
70-0029                          J26                               69   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0029                          J27                               61   1      1   1   1 1           1 0 XSIG030080          (2992-66-13)
70-0029                          J28                               68   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0029                          J29                               60   1      1   1   1 1           1 0 XSIG030202          (2992-72-13)
70-0029                          J30                               67   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0029                          J31                               63   1      1   1   1 1           1 0 XSIG030199          (2992-71-13)
70-0029                          J32                               66   1      1   1   1 1           1 0 GND                 (2992-1-13)
70-0040                          J11                               83   1      1   1   1 1           1 0 XSIG030221          (2992-76-13)
70-0040                          J11                               83   1      2   2   1 3           4 0 XSIG030220          (2992-75-13)
70-0040                          J11                               83   1      3   3   1 2           2 0 GND                 (2992-1-13)
70-0040                          J11                               83   1      4   4   1 2bis        3 0 GND                 (2992-1-13)
70-0053                          J23                              135   1      1   1   1 1           1 0 XSIG050263          (2992-116-13)
70-0053                          J23                              135   1      2   2   1 2           2 0 VCC5                (3033-4-13)
70-0053                          J23                              135   1      3   3   1 3           3 0 XSIG050264          (2992-117-13)
70-0053                          J23                              135   1      4   4   1 4           4 0 VCC5                (3033-4-13)
70-0053                          J23                              135   1      5   5   1 5           5 0 XSIG050265          (2992-118-13)
70-0053                          J23                              135   1      6   6   1 6           6 0 VCC5                (3033-4-13)
70-0053                          J23                              135   1      7   7   1 7           7 0 XSIG050266          (2992-119-13)
70-0053                          J23                              135   1      8   8   1 8           8 0 VCC5                (3033-4-13)
70-0081                          J25                               24   1      1   1   1 1           1 0 VCC                 (2992-14-13)
70-0081                          J25                               24   1      2   2   1 2           2 0 SWDCLK              (2992-52-13)
70-0081                          J25                               24   1      3   3   1 3           3 0 GND                 (2992-1-13)
70-0081                          J25                               24   1      4   4   1 4           4 0 SWDIO               (2992-51-13)
70-0081                          J25                               24   1      5   5   1 5           5 0 GND                 (2992-1-13)
70-0081                          J25                               24   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J25                               24   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J25                               24   1      8   8   1 9           9 0 GND                 (2992-1-13)
70-0081                          J25                               24   1      9   9   1 10         10 0                     (0-0-0)
70-0081                          J25                                0   2      1   1   2 7           7 1                     (0-0-0)
70-0087                          J1                                30   1      1   1   1 FEED        1 0 XSIG020001          (2992-59-13)
70-0087                          J1                                30   1      2   2   1 GND1        2 0 GND                 (2992-1-13)
70-0087                          J1                                30   1      3   3   1 GND2        3 0 GND                 (2992-1-13)
70-0087                          J2                                31   1      1   1   1 FEED        1 0 XSIG020035          (2992-60-13)
70-0087                          J2                                31   1      2   2   1 GND1        2 0 GND                 (2992-1-13)
70-0087                          J2                                31   1      3   3   1 GND2        3 0 GND                 (2992-1-13)
80-0035                          SW1                               25   1      1   1   1 1           1 0 RESETn              (2992-4-13)
80-0035                          SW1                               25   1      2   2   1 2           2 0 GND                 (2992-1-13)
80-0056                          U1                                29   1      1   1   1 43         40 0 XSIG020001          (2992-59-13)
80-0056                          U1                                29   1      2   2   1 47         44 0 XSIG020035          (2992-60-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0056                          U1                                29   1      3   3   1 9           9 0                     (0-0-0)
80-0056                          U1                                29   1      4   4   1 4           4 0                     (0-0-0)
80-0056                          U1                                29   1      5   5   1 5           5 0                     (0-0-0)
80-0056                          U1                                29   1      6   6   1 6           6 0                     (0-0-0)
80-0056                          U1                                29   1      7   7   1 7           7 0                     (0-0-0)
80-0056                          U1                                29   1      8   8   1 8           8 0                     (0-0-0)
80-0056                          U1                                29   1      9   9   1 13         12 0                     (0-0-0)
80-0056                          U1                                29   1     10  10   1 17         16 0 WIFI_RTS            (3059-3-13)
80-0056                          U1                                29   1     11  11   1 18         17 0 WIFI_CTS            (3059-1-13)
80-0056                          U1                                29   1     12  12   1 21         20 0                     (0-0-0)
80-0056                          U1                                29   1     13  13   1 22         21 0                     (0-0-0)
80-0056                          U1                                29   1     14  14   1 23         22 0                     (0-0-0)
80-0056                          U1                                29   1     15  15   1 24         23 0                     (0-0-0)
80-0056                          U1                                29   1     16  16   1 25         24 0                     (0-0-0)
80-0056                          U1                                29   1     17  17   1 28         26 0                     (0-0-0)
80-0056                          U1                                29   1     18  18   1 29         27 0                     (0-0-0)
80-0056                          U1                                29   1     19  19   1 30         28 0                     (0-0-0)
80-0056                          U1                                29   1     20  20   1 31         29 0                     (0-0-0)
80-0056                          U1                                29   1     21  21   1 32         30 0                     (0-0-0)
80-0056                          U1                                29   1     22  22   1 33         31 0                     (0-0-0)
80-0056                          U1                                29   1     23  23   1 34         32 0 WIFI_RST            (3059-2-13)
80-0056                          U1                                29   1     24  24   1 14         13 0                     (0-0-0)
80-0056                          U1                                29   1     25  25   1 16         15 0                     (0-0-0)
80-0056                          U1                                29   1     26  26   1 15         14 0                     (0-0-0)
80-0056                          U1                                29   1     27  27   1 19         18 0 WIFI_RX             (2992-48-13)
80-0056                          U1                                29   1     28  28   1 20         19 0 WIFI_TX             (2992-53-13)
80-0056                          U1                                29   1     29  29   1 3           3 0 VCC                 (2992-14-13)
80-0056                          U1                                29   1     30  30   1 10         10 0 VCC                 (2992-14-13)
80-0056                          U1                                29   1     31  31   1 35         33 0 VCC                 (2992-14-13)
80-0056                          U1                                29   2      1   1   2 2           2 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1   3 51         48 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1   4 50         47 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1   5 49         46 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1   6 48         45 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1   7 46         43 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1   8 45         42 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1   9 44         41 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  10 42         39 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  11 41         38 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  12 40         37 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  13 39         36 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  14 37_38      35 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  15 36         34 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  16 26_27      25 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  17 11_12      11 0 GND                 (2992-1-13)
80-0056                          U1                                29   2      1   1  18 1_52        1 0 GND                 (2992-1-13)
80-0066                          U2                                38   1      1   1   1 30         31 0                     (0-0-0)
80-0066                          U2                                38   1      2   2   1 35         36 0                     (0-0-0)
80-0066                          U2                                38   1      3   3   1 7          11 0                     (0-0-0)
80-0066                          U2                                38   1      4   4   1 9          13 0                     (0-0-0)
80-0066                          U2                                38   1      5   5   1 10         14 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0066                          U2                                38   1      6   6   1 8          12 0                     (0-0-0)
80-0066                          U2                                38   1      7   7   1 19         23 0                     (0-0-0)
80-0066                          U2                                38   1      8   8   1 20         24 0 BT_AUTO_DISCOVERY   (2992-7-13)
80-0066                          U2                                38   1      9   9   1 22         26 0 BT_FACTORY_RESET    (2992-6-13)
80-0066                          U2                                38   1     10  10   1 21         25 0 XSIG020041          (2992-64-13)
80-0066                          U2                                38   1     11  11   1 3           7 0 BT_SET_MASTER       (2992-5-13)
80-0066                          U2                                38   1     12  12   1 4           8 0 GND                 (2992-1-13)
80-0066                          U2                                38   1     13  13   1 31         32 0 XSIG020040          (2992-63-13)
80-0066                          U2                                38   1     14  14   1 32         33 0                     (0-0-0)
80-0066                          U2                                38   1     15  15   1 33         34 0                     (0-0-0)
80-0066                          U2                                38   1     16  16   1 34         35 0                     (0-0-0)
80-0066                          U2                                38   1     17  17   1 5           9 0 BT_RST              (2992-39-13)
80-0066                          U2                                38   1     18  18   1 6          10 0                     (0-0-0)
80-0066                          U2                                38   1     19  19   1 23         27 0                     (0-0-0)
80-0066                          U2                                38   1     20  20   1 24         28 0                     (0-0-0)
80-0066                          U2                                38   1     21  21   1 2           6 0                     (0-0-0)
80-0066                          U2                                38   1     22  22   1 16         20 0 BT_UART_CTS         (2992-9-13)
80-0066                          U2                                38   1     23  23   1 15         19 0 BT_UART_RTS         (2992-8-13)
80-0066                          U2                                38   1     24  24   1 13         17 0 BT_UART_RX          (2992-10-13)
80-0066                          U2                                38   1     25  25   1 14         18 0 BT_UART_TX          (2992-11-13)
80-0066                          U2                                38   1     26  26   1 17         21 0                     (0-0-0)
80-0066                          U2                                38   1     27  27   1 18         22 0                     (0-0-0)
80-0066                          U2                                38   2      1   1   2 11         15 0 VCC                 (2992-14-13)
80-0066                          U2                                38   3      1   1   3 SHLD3       4 0 GND                 (2992-1-13)
80-0066                          U2                                38   3      1   1   4 SHLD1       3 0 GND                 (2992-1-13)
80-0066                          U2                                38   3      1   1   5 SHDL2       2 0 GND                 (2992-1-13)
80-0066                          U2                                38   3      1   1   6 SHDL0       1 0 GND                 (2992-1-13)
80-0066                          U2                                38   3      1   1   7 1           5 0 GND                 (2992-1-13)
80-0066                          U2                                38   3      1   1   8 12         16 0 GND                 (2992-1-13)
80-0066                          U2                                38   3      1   1   9 28         29 0 GND                 (2992-1-13)
80-0066                          U2                                38   3      1   1  10 29         30 0 GND                 (2992-1-13)
81-0006                          QZ1                               18   1      1   1   1 1           1 0 XSIG010830          (2992-42-13)
81-0006                          QZ1                               18   1      2   2   1 2           2 0 XSIG010831          (2992-43-13)
